"S","X1","X2","pred","type"
"White",3.1,39,0.51353267929919,"factual"
"White",3,36,0.444799178964252,"factual"
"White",3.1,30,0.35382000960995,"factual"
"White",3.4,37,0.519836804759963,"factual"
"White",3.6,30.5,0.430301117247865,"factual"
"White",3.6,36,0.530096376158334,"factual"
"White",2.7,37,0.420702795644605,"factual"
"White",2.6,37,0.406867866183623,"factual"
"White",3.6,31,0.43926287603666,"factual"
"White",3.2,41,0.56391289562021,"factual"
"White",3.1,35,0.440876801003512,"factual"
"White",3.2,35,0.454981081922346,"factual"
"White",2.9,35,0.412974171221164,"factual"
"White",2.3,41,0.436273586707385,"factual"
"White",3.3,30.5,0.38894671466986,"factual"
"White",3,36,0.444799178964252,"factual"
"White",3.9,40,0.641849054106344,"factual"
"White",3.4,36,0.501612947461833,"factual"
"White",2.7,29,0.288355246270514,"factual"
"White",3.2,37,0.49132824152379,"factual"
"White",3.1,30,0.35382000960995,"factual"
"White",3.1,40,0.531727566924005,"factual"
"White",3.6,37,0.548216770350708,"factual"
"Black",2.8,29,0.300199943281644,"factual"
"White",2.8,34,0.381860088152536,"factual"
"White",3,35,0.426867304435433,"factual"
"White",3.4,40,0.574002462289627,"factual"
"White",2.6,36,0.389392675186821,"factual"
"White",2.9,29,0.312317654712464,"factual"
"White",2.5,35,0.358968818708684,"factual"
"White",3.4,32,0.429155750830813,"factual"
"White",2.7,36,0.403037161800583,"factual"
"White",3.3,36,0.487355724278539,"factual"
"White",2.5,36,0.37591922947303,"factual"
"White",3.6,38,0.566210216015459,"factual"
"White",3.6,36,0.530096376158334,"factual"
"White",3.2,32.5,0.410255959082888,"factual"
"White",3.5,27,0.355960066942096,"factual"
"White",2.4,36,0.362635109902218,"factual"
"Black",3.2,19,0.206269912632414,"factual"
"White",3.7,34,0.507923526826717,"factual"
"White",3.1,35,0.440876801003512,"factual"
"White",2.8,36,0.416833374413027,"factual"
"White",3.7,38,0.580163611501271,"factual"
"White",3.2,34,0.43696178927944,"factual"
"White",2.8,38,0.452664125441741,"factual"
"White",3.4,36,0.501612947461833,"factual"
"White",3.5,42,0.622721083574673,"factual"
"White",2.3,29,0.243876193591536,"factual"
"White",3.7,31,0.453357390098574,"factual"
"Black",2.6,23,0.198126079869335,"factual"
"White",3.8,37,0.576286568050109,"factual"
"White",3.3,33,0.433054616331203,"factual"
"White",3.3,35,0.469157965387343,"factual"
"White",3.2,36,0.47311904605934,"factual"
"White",2.4,35.5,0.354249043640133,"factual"
"White",3.4,41,0.591733736634679,"factual"
"White",3.5,34,0.479415980298587,"factual"
"White",3.3,29,0.363282008891917,"factual"
"White",3.3,33,0.433054616331203,"factual"
"White",2.9,32,0.361122614201335,"factual"
"White",2.3,39,0.400790205540623,"factual"
"White",3.4,39,0.556078824999321,"factual"
"White",3,39,0.499276060442295,"factual"
"White",3.8,32,0.485719461901943,"factual"
"White",3.3,29,0.363282008891917,"factual"
"White",3,31,0.357463038361473,"factual"
"White",3.3,36,0.487355724278539,"factual"
"Black",2.4,27,0.227869780258662,"factual"
"White",3.5,30,0.407543217217279,"factual"
"White",3.5,38,0.552151056683398,"factual"
"White",2.8,34,0.381860088152536,"factual"
"White",3.7,37,0.562301530950507,"factual"
"White",3,43,0.571715194334665,"factual"
"White",2.9,42,0.539635605580718,"factual"
"White",3.4,33.5,0.4561402979051,"factual"
"White",2.9,25,0.253306507111361,"factual"
"White",3.4,38,0.53800802758474,"factual"
"White",3.6,42,0.636025228800601,"factual"
"White",3.5,37,0.534054343410414,"factual"
"White",3.5,29.5,0.398768384186446,"factual"
"White",3.1,41,0.549838475950257,"factual"
"White",3.6,38,0.566210216015459,"factual"
"White",3.2,42,0.581758129116782,"factual"
"White",3.3,35.5,0.478249628362745,"factual"
"White",3.6,36,0.530096376158334,"factual"
"White",3.5,39,0.57011068158594,"factual"
